Orthogroup	PFEIFFER_annot	SC_annot	SIM_annot
OG0000449	lcl|BK010829.1_prot_DAC78102.1_808	SC_01918	SC_03467, SC_03468
OG0000450	lcl|BK010829.1_prot_DAC78105.1_811	SC_01922, SC_01923	SC_03461
OG0000451	lcl|BK010829.1_prot_DAC78109.1_815	SC_01936	SC_03449, SC_03452
OG0000452	lcl|BK010829.1_prot_DAC78135.1_844	SC_01965	SC_03418, SC_03419
OG0000453	lcl|BK010829.1_prot_DAC78138.1_847	SC_01970, SC_01971	SC_03414
OG0000454	lcl|BK010829.1_prot_DAC78140.1_849	SC_01972, SC_01975	SC_03411
OG0000455	lcl|BK010829.1_prot_DAC78141.1_850	SC_01976, SC_01977	SC_03409
OG0000456	lcl|BK010829.1_prot_DAC78151.1_860	SC_01989, SC_01990	SC_03399
OG0000457	lcl|BK010829.1_prot_DAC78178.1_887	SC_02034	SC_03359, SC_03360
OG0000458	lcl|BK010829.1_prot_DAC78189.1_898	SC_02053, SC_02054	SC_03340
OG0000459	lcl|BK010829.1_prot_DAC78190.1_899	SC_02057	SC_03336, SC_03339
OG0000460	lcl|BK010829.1_prot_DAC78191.1_900	SC_02058, SC_02061	SC_03335
OG0000461	lcl|BK010829.1_prot_DAC78192.1_901	SC_02064, SC_02065	SC_03332
OG0000462	lcl|BK010829.1_prot_DAC78219.1_928	SC_02111, SC_02112	SC_03288
OG0000463	lcl|BK010829.1_prot_DAC78221.1_930	SC_02114, SC_02115	SC_03286
OG0000464	lcl|BK010829.1_prot_DAC78241.1_950	SC_02146	SC_03261, SC_03262
OG0000465	lcl|BK010829.1_prot_DAC78244.1_953	SC_02151	SC_03256, SC_03257
OG0000466	lcl|BK010829.1_prot_DAC78255.1_964	SC_02172, SC_02173	SC_03240
OG0000467	lcl|BK010829.1_prot_DAC78259.1_968	SC_02179, SC_02180	SC_03235
OG0000468	lcl|BK010829.1_prot_DAC78268.1_977	SC_02192	SC_03222, SC_03223
OG0000469	lcl|BK010829.1_prot_DAC78276.1_985	SC_02202, SC_02203	SC_03212
OG0000470	lcl|BK010829.1_prot_DAC78278.1_987	SC_02207, SC_03597	SC_03209
OG0000471	lcl|BK010829.1_prot_DAC78282.1_991	SC_02219, SC_02220	SC_03203
OG0000472	lcl|BK010829.1_prot_DAC78296.1_1005	SC_02241	SC_03177, SC_03179
OG0000473	lcl|BK010829.1_prot_DAC78298.1_1007	SC_02246, SC_02247	SC_03173
OG0000474	lcl|BK010829.1_prot_1008	SC_02248	SC_03171, SC_03172
OG0000475	lcl|BK010829.1_prot_DAC78312.1_1023	SC_02275	SC_03147, SC_03149
OG0000476	lcl|BK010829.1_prot_DAC78323.1_1035	SC_02296, SC_02297	SC_03127
OG0000477	lcl|BK010829.1_prot_DAC78330.1_1042	SC_02308	SC_03112, SC_03113
OG0000478	lcl|BK010829.1_prot_DAC78347.1_1061	SC_02337	SC_03086, SC_03087
OG0000479	lcl|BK010829.1_prot_DAC78348.1_1062, lcl|BK010829.1_prot_DAC78349.1_1063	SC_02340	SC_03085
OG0000480	lcl|BK010829.1_prot_DAC78354.1_1068	SC_02349	SC_00351, SC_03077
OG0000481	lcl|BK010829.1_prot_DAC78369.1_1083	SC_02375, SC_02376	SC_03053
OG0000482	lcl|BK010829.1_prot_DAC78383.1_1097	SC_02397, SC_02398	SC_03031
OG0000483	lcl|BK010829.1_prot_DAC78391.1_1105	SC_02409	SC_03017, SC_03018
OG0000484	lcl|BK010829.1_prot_DAC78395.1_1109	SC_02421	SC_03008, SC_03009
OG0000485	lcl|BK010829.1_prot_DAC78399.1_1113	SC_02426	SC_03002, SC_03003
OG0000486	lcl|BK010829.1_prot_DAC78404.1_1118	SC_02436	SC_02993, SC_02994
OG0000487	lcl|BK010829.1_prot_DAC78408.1_1122	SC_02442, SC_02443	SC_02985
OG0000488	lcl|BK010829.1_prot_DAC78413.1_1127	SC_02450	SC_02976, SC_02977
OG0000489	lcl|BK010829.1_prot_DAC78416.1_1130	SC_02453, SC_02455	SC_02971
OG0000490	lcl|BK010829.1_prot_DAC78418.1_1132	SC_02459, SC_02460	SC_02968
OG0000491	lcl|BK010829.1_prot_DAC78419.1_1133	SC_02461	SC_02966, SC_02967
OG0000492	lcl|BK010829.1_prot_DAC78435.1_1149	SC_02489	SC_02940, SC_02941
OG0000493	lcl|BK010829.1_prot_DAC78436.1_1150	SC_02492	SC_02937, SC_02938
OG0000494	lcl|BK010829.1_prot_DAC78455.1_1169	SC_02524	SC_02906, SC_02907
OG0000495	lcl|BK010829.1_prot_DAC78457.1_1171	SC_02529, SC_02530	SC_02903
OG0000496	lcl|BK010829.1_prot_DAC78481.1_1196	SC_02562	SC_02872, SC_02874
OG0000497	lcl|BK010829.1_prot_DAC78483.1_1198	SC_02566	SC_02867, SC_02868
OG0000498	lcl|BK010829.1_prot_DAC78488.1_1203	SC_02574, SC_02575	SC_02861
OG0000499	lcl|BK010829.1_prot_DAC78491.1_1206	SC_02582	SC_02851, SC_02852
OG0000500	lcl|BK010829.1_prot_DAC78497.1_1212	SC_02588	SC_02844, SC_02845
OG0000501	lcl|BK010829.1_prot_DAC78505.1_1220	SC_02604, SC_02605	SC_02830
OG0000502	lcl|BK010829.1_prot_DAC78516.1_1231	SC_02620	SC_02814, SC_02815
OG0000503	lcl|BK010829.1_prot_DAC78519.1_1234	SC_02627, SC_02629	SC_02811
OG0000504	lcl|BK010829.1_prot_DAC78541.1_1256	SC_02671	SC_00271, SC_02766
OG0000505	lcl|BK010829.1_prot_DAC78557.1_1272, lcl|BK010829.1_prot_DAC78558.1_1273	SC_02708	SC_02730
OG0000506	lcl|BK010829.1_prot_DAC78577.1_1292	SC_02747	SC_02691, SC_02692
OG0000507	lcl|BK010829.1_prot_DAC78579.1_1294	SC_02748, SC_02749	SC_02687
OG0000508	lcl|BK010829.1_prot_DAC78582.1_1297	SC_02753	SC_02683, SC_02684
OG0000509	lcl|BK010829.1_prot_DAC78584.1_1299	SC_02756, SC_02757	SC_02679
OG0000510	lcl|BK010829.1_prot_1301	SC_02760, SC_02761	SC_02676
OG0000511	lcl|BK010829.1_prot_DAC78621.1_1340	SC_02817, SC_02818	SC_02621
OG0000512	lcl|BK010829.1_prot_DAC78638.1_1358	SC_02851	SC_02598, SC_02599
OG0000513	lcl|BK010829.1_prot_DAC78647.1_1367	SC_02860, SC_02864	SC_02583
OG0000514	lcl|BK010829.1_prot_DAC78653.1_1373	SC_02869	SC_02576, SC_02577
OG0000515	lcl|BK010829.1_prot_DAC78660.1_1380	SC_02879	SC_02563, SC_02564
OG0000516	lcl|BK010829.1_prot_DAC78662.1_1382	SC_02882	SC_02558, SC_02560
OG0000517	lcl|BK010829.1_prot_DAC78663.1_1383	SC_02885, SC_02886	SC_02557
OG0000518	lcl|BK010829.1_prot_DAC78664.1_1384	SC_02888	SC_02554, SC_02555
OG0000519	lcl|BK010829.1_prot_DAC78671.1_1391	SC_02899, SC_02900	SC_02547
OG0000520	lcl|BK010829.1_prot_DAC78697.1_1418	SC_02945, SC_02946	SC_02509
OG0000521	lcl|BK010829.1_prot_DAC78700.1_1421	SC_02950	SC_02504, SC_02505
OG0000522	lcl|BK010829.1_prot_DAC78701.1_1422	SC_02951, SC_02952	SC_02501
OG0000523	lcl|BK010829.1_prot_DAC78708.1_1429	SC_02961	SC_02489, SC_02490
OG0000524	lcl|BK010829.1_prot_DAC78709.1_1430	SC_02962, SC_02963	SC_02487
OG0000525	lcl|BK010829.1_prot_DAC78710.1_1431	SC_02964	SC_02484, SC_02485
OG0000526	lcl|BK010829.1_prot_DAC78715.1_1436	SC_02972, SC_02974	SC_02477
OG0000527	lcl|BK010829.1_prot_DAC78721.1_1442	SC_02987, SC_02989	SC_02467
OG0000528	lcl|BK010829.1_prot_DAC78722.1_1443	SC_02990, SC_02991	SC_02466
OG0000529	lcl|BK010829.1_prot_DAC78726.1_1447	SC_02995, SC_02997	SC_02461
OG0000530	lcl|BK010829.1_prot_DAC78745.1_1466	SC_03026, SC_03027	SC_02432
OG0000531	lcl|BK010829.1_prot_DAC78755.1_1476	SC_03044, SC_03045	SC_02416
OG0000532	lcl|BK010829.1_prot_DAC78758.1_1479	SC_03047	SC_02412, SC_02413
OG0000533	lcl|BK010829.1_prot_DAC78771.1_1492	SC_03068, SC_03069	SC_02392
OG0000534	lcl|BK010829.1_prot_DAC78779.1_1500	SC_03085, SC_03086	SC_02379
OG0000535	lcl|BK010829.1_prot_DAC78786.1_1507	SC_03097	SC_02364, SC_02365
OG0000536	lcl|BK010829.1_prot_DAC78793.1_1514	SC_03109, SC_03110	SC_02350
OG0000537	lcl|BK010829.1_prot_DAC78796.1_1517	SC_03117	SC_02342, SC_02343
OG0000538	lcl|BK010829.1_prot_DAC78815.1_1536	SC_03155	SC_02312, SC_02313
OG0000539	lcl|BK010829.1_prot_DAC78824.1_1545	SC_03164	SC_02300, SC_02301
OG0000540	lcl|BK010829.1_prot_DAC78825.1_1546	SC_03165, SC_03168	SC_02297
OG0000541	lcl|BK010829.1_prot_DAC78827.1_1548	SC_03170, SC_03174	SC_02296
OG0000542	lcl|BK010829.1_prot_DAC78836.1_1557	SC_03187, SC_03188	SC_02282
OG0000543	lcl|BK010829.1_prot_DAC78866.1_1588, lcl|BK010829.1_prot_DAC78867.1_1589	SC_03232	SC_02237
OG0000544	lcl|BK010829.1_prot_DAC78874.1_1596	SC_03246, SC_03247	SC_02225
OG0000545	lcl|BK010829.1_prot_DAC78878.1_1600	SC_03258, SC_03259	SC_02218
OG0000546	lcl|BK010829.1_prot_DAC78879.1_1601	SC_03260, SC_03262	SC_02215
OG0000547	lcl|BK010829.1_prot_DAC78893.1_1615	SC_03283	SC_02190, SC_02191
OG0000548	lcl|BK010829.1_prot_DAC78902.1_1624	SC_03292	SC_02178, SC_02179
OG0000549	lcl|BK010829.1_prot_DAC78907.1_1629	SC_03301, SC_03302	SC_02172
OG0000550	lcl|BK010829.1_prot_DAC78918.1_1640	SC_03317, SC_03318	SC_02153
OG0000551	lcl|BK010829.1_prot_DAC78920.1_1642	SC_03320, SC_03321	SC_02151
OG0000552	lcl|BK010829.1_prot_DAC78934.1_1656, lcl|BK010829.1_prot_DAC78935.1_1657	SC_03345	SC_02130
OG0000553	lcl|BK010829.1_prot_DAC78950.1_1672	SC_03361, SC_03364	SC_02113
OG0000554	lcl|BK010829.1_prot_DAC78965.1_1687	SC_03389	SC_02092, SC_02093
OG0000555	lcl|BK010829.1_prot_DAC78968.1_1690	SC_03395, SC_03396	SC_02087
OG0000556	lcl|BK010829.1_prot_DAC78983.1_1705	SC_03416, SC_03417	SC_02069
OG0000557	lcl|BK010829.1_prot_DAC78994.1_1716	SC_03438, SC_03439	SC_02049
OG0000558	lcl|BK010829.1_prot_DAC79005.1_1727	SC_03459	SC_02027, SC_02028
OG0000559	lcl|BK010829.1_prot_DAC79018.1_1740	SC_03487, SC_03488	SC_02005
OG0000560	lcl|BK010829.1_prot_DAC79020.1_1742	SC_03491, SC_03492	SC_02002
OG0000561	lcl|BK010829.1_prot_DAC79021.1_1743	SC_03493, SC_03494	SC_02001
OG0000562	lcl|BK010829.1_prot_DAC79024.1_1746	SC_03498	SC_01992, SC_01994
OG0000563	lcl|BK010829.1_prot_DAC79027.1_1749	SC_03503	SC_01985, SC_01986
OG0000564	lcl|BK010829.1_prot_DAC79035.1_1757	SC_03511, SC_03512	SC_01972
OG0000565	lcl|BK010829.1_prot_DAC79041.1_1763	SC_03524, SC_03526	SC_01961
OG0000566	lcl|BK010829.1_prot_DAC79044.1_1766	SC_03529	SC_01955, SC_01956
OG0000567	lcl|BK010829.1_prot_DAC79057.1_1779	SC_03551, SC_03553	SC_01932
OG0000568	lcl|BK010829.1_prot_DAC79077.1_1801	SC_03592, SC_03593	SC_01900
OG0000569	lcl|BK010829.1_prot_DAC79082.1_1806	SC_03602, SC_03604	SC_01886
OG0000570	lcl|BK010829.1_prot_DAC79083.1_1807	SC_03605	SC_01884, SC_01885
OG0000571	lcl|BK010829.1_prot_DAC79086.1_1810	SC_03608	SC_01880, SC_01881
OG0000572	lcl|BK010829.1_prot_DAC79087.1_1811	SC_03610	SC_01878, SC_01879
OG0000573	lcl|BK010829.1_prot_DAC79089.1_1813	SC_03612, SC_03614	SC_01875
OG0000574	lcl|BK010829.1_prot_DAC79095.1_1819	SC_03627, SC_03628	SC_01858
OG0000575	lcl|BK010829.1_prot_DAC79099.1_1823	SC_03634, SC_03635	SC_01848
OG0000576	lcl|BK010829.1_prot_DAC79101.1_1825	SC_03641	SC_01839, SC_01840
OG0000577	lcl|BK010829.1_prot_DAC79102.1_1826	SC_03644, SC_03645	SC_01837
OG0000578	lcl|BK010829.1_prot_DAC79111.1_1835	SC_03661, SC_03662	SC_01826
OG0000579	lcl|BK010829.1_prot_DAC79112.1_1836	SC_03666	SC_01819, SC_01820
OG0000580	lcl|BK010829.1_prot_DAC79120.1_1844	SC_03678	SC_01807, SC_01808
OG0000581	lcl|BK010829.1_prot_DAC79121.1_1845	SC_03679, SC_03680	SC_01806
OG0000582	lcl|BK010829.1_prot_DAC79125.1_1849	SC_03684	SC_01802, SC_01803
OG0000583	lcl|BK010829.1_prot_DAC79133.1_1857	SC_03693	SC_01786, SC_01787
OG0000584	lcl|BK010829.1_prot_DAC79136.1_1860	SC_03697, SC_03698	SC_01781
OG0000585	lcl|BK010829.1_prot_DAC79149.1_1873	SC_03720	SC_01760, SC_01761
OG0000586	lcl|BK010829.1_prot_DAC79150.1_1874	SC_03722	SC_01757, SC_01759
OG0000587	lcl|BK010829.1_prot_DAC79165.1_1889	SC_03742, SC_03743	SC_01731
OG0000588	lcl|BK010829.1_prot_DAC79172.1_1897	SC_03756, SC_03757	SC_01716
OG0000589	lcl|BK010829.1_prot_DAC79175.1_1900	SC_03761, SC_03762	SC_01710
OG0000590	lcl|BK010829.1_prot_DAC79183.1_1908	SC_03771, SC_03773	SC_01703
OG0000591	lcl|BK010829.1_prot_DAC79194.1_1919	SC_00007, SC_03790	SC_01685
OG0000592	lcl|BK010829.1_prot_DAC79197.1_1922	SC_00017, SC_03798	SC_01676
OG0000593	lcl|BK010829.1_prot_DAC79198.1_1923	SC_00018, SC_03799	SC_01675
OG0000594	lcl|BK010829.1_prot_DAC79202.1_1927	SC_00030, SC_03811	SC_01665
OG0000595	lcl|BK010829.1_prot_DAC79203.1_1928	SC_00031, SC_03812	SC_01664
OG0000596	lcl|BK010829.1_prot_DAC79205.1_1930	SC_00034, SC_03815	SC_01661
OG0000597	lcl|BK010829.1_prot_DAC79207.1_1932	SC_00035, SC_03817	SC_01659
OG0000598	lcl|BK010829.1_prot_DAC79209.1_1934	SC_00042, SC_03823	SC_01651
OG0000599	lcl|BK010829.1_prot_DAC79210.1_1935	SC_00046, SC_03828	SC_01648
OG0000600	lcl|BK010829.1_prot_DAC79211.1_1936	SC_00047, SC_03831	SC_01646
OG0000601	lcl|BK010829.1_prot_DAC79213.1_1938	SC_00052, SC_03834	SC_01641
OG0000602	lcl|BK010829.1_prot_DAC79221.1_1946	SC_00079, SC_03860	SC_01622
OG0000603	lcl|BK010829.1_prot_DAC79222.1_1947	SC_00081, SC_03862	SC_01620
OG0000604	lcl|BK010829.1_prot_DAC79230.1_1955	SC_00094	SC_01600, SC_01601
OG0000605	lcl|BK010829.1_prot_DAC79234.1_1959	SC_00102, SC_00103	SC_01594
OG0000606	lcl|BK010829.1_prot_DAC79240.1_1965	SC_00111	SC_01584, SC_01585
OG0000607	lcl|BK010829.1_prot_DAC79242.1_1967	SC_00114	SC_01581, SC_01582
OG0000608	lcl|BK010829.1_prot_DAC79245.1_1970	SC_00121	SC_01575, SC_01576
OG0000609	lcl|BK010829.1_prot_DAC79250.1_1975	SC_00131, SC_00132	SC_01567
OG0000610	lcl|BK010829.1_prot_DAC79261.1_1986	SC_00145, SC_00146	SC_01551
OG0000611	lcl|BK010829.1_prot_DAC79262.1_1987	SC_00149	SC_01548, SC_01549
OG0000612	lcl|BK010829.1_prot_DAC79265.1_1990	SC_00155, SC_00156	SC_01541
OG0000613	lcl|BK010829.1_prot_DAC79272.1_1997	SC_00170	SC_01524, SC_02040
OG0000614	lcl|BK010829.1_prot_DAC79290.1_2015, lcl|BK010829.1_prot_DAC79291.1_2016	SC_00197	SC_01494
OG0000615	lcl|BK010829.1_prot_DAC79292.1_2017	SC_00198	SC_01492, SC_01493
OG0000616	lcl|BK010829.1_prot_DAC79295.1_2020	SC_00201, SC_00203	SC_01489
OG0000617	lcl|BK010829.1_prot_DAC79313.1_2038	SC_00224	SC_01459, SC_04156
OG0000618	lcl|BK010829.1_prot_DAC79315.1_2040	SC_00227, SC_00229	SC_01456
OG0000619	lcl|BK010829.1_prot_DAC79323.1_2048, lcl|BK010829.1_prot_DAC79325.1_2050	SC_00243	SC_01443
OG0000620	lcl|BK010829.1_prot_DAC79332.1_2057	SC_00254, SC_00255	SC_01432
OG0000621	lcl|BK010829.1_prot_DAC79339.1_2064	SC_00274	SC_01412, SC_01413
OG0000622	lcl|BK010829.1_prot_DAC79345.1_2070	SC_00283, SC_00284	SC_01406
OG0000623	lcl|BK010829.1_prot_DAC79360.1_2085	SC_00307, SC_00308	SC_01381
OG0000624	lcl|BK010829.1_prot_DAC79362.1_2087	SC_00312, SC_00313	SC_01378
OG0000625	lcl|BK010829.1_prot_DAC79365.1_2090	SC_00316, SC_00318	SC_01375
OG0000626	lcl|BK010829.1_prot_DAC79375.1_2100	SC_00336	SC_01357, SC_02970
OG0000627	lcl|BK010829.1_prot_DAC79380.1_2105	SC_00352, SC_00354	SC_01345
OG0000628	lcl|BK010829.1_prot_DAC79381.1_2106	SC_00356	SC_01342, SC_01343
OG0000629	lcl|BK010829.1_prot_DAC79386.1_2111, lcl|BK010829.1_prot_DAC79387.1_2112	SC_00365	SC_01333
OG0000630	lcl|BK010829.1_prot_DAC79391.1_2116	SC_00369	SC_01328, SC_03845
OG0000631	lcl|BK010829.1_prot_DAC79410.1_2135	SC_00395, SC_00396	SC_01303
OG0000632	lcl|BK010829.1_prot_DAC79427.1_2152	SC_00429	SC_01273, SC_01274
OG0000633	lcl|BK010829.1_prot_DAC79431.1_2156	SC_00432, SC_00433	SC_01267
OG0000634	lcl|BK010829.1_prot_DAC79438.1_2163	SC_00445, SC_00447	SC_01255
OG0000635	lcl|BK010829.1_prot_DAC79456.1_2181	SC_00481	SC_01222, SC_01223
OG0000636	lcl|BK010829.1_prot_DAC79460.1_2185	SC_00489, SC_00490	SC_01218
OG0000637	lcl|BK010829.1_prot_DAC79463.1_2188	SC_00502, SC_00503	SC_01207
OG0000638	lcl|BK010830.1_prot_10, lcl|BK010831.1_prot_9	SC_04348	SC_00010
OG0000639	lcl|BK010830.1_prot_DAC79483.1_13, lcl|BK010831.1_prot_DAC79687.1_12	SC_04017	SC_00017
OG0000640	lcl|BK010830.1_prot_19, lcl|BK010831.1_prot_18	SC_04023, SC_04364	
OG0000641	lcl|BK010830.1_prot_DAC79488.1_22, lcl|BK010831.1_prot_DAC79691.1_20	SC_04367	SC_00027
OG0000642	lcl|BK010830.1_prot_DAC79491.1_25, lcl|BK010831.1_prot_DAC79694.1_23	SC_04027	SC_00030
OG0000643	lcl|BK010830.1_prot_DAC79493.1_27, lcl|BK010831.1_prot_DAC79696.1_25	SC_03985	SC_00033
OG0000644	lcl|BK010830.1_prot_DAC79498.1_32, lcl|BK010831.1_prot_DAC79701.1_30	SC_04380	SC_00042
OG0000645	lcl|BK010830.1_prot_37, lcl|BK010830.1_prot_DAC79605.1_154, lcl|BK010831.1_prot_35, lcl|BK010831.1_prot_DAC79999.1_387		
OG0000646	lcl|BK010830.1_prot_DAC79550.1_91, lcl|BK010830.1_prot_DAC79635.1_194, lcl|BK010831.1_prot_DAC79748.1_84	SC_04269	
OG0000647	lcl|BK010830.1_prot_190, lcl|BK010830.1_prot_93, lcl|BK010831.1_prot_86	SC_04266	
OG0000648	lcl|BK010830.1_prot_DAC79553.1_96, lcl|BK010831.1_prot_DAC79751.1_89	SC_04132	SC_00528
OG0000649	lcl|BK010830.1_prot_DAC79554.1_97, lcl|BK010831.1_prot_DAC79752.1_90	SC_04133	SC_00529
OG0000650	lcl|BK010830.1_prot_DAC79556.1_99, lcl|BK010831.1_prot_DAC79754.1_92	SC_04138	SC_00532
OG0000651	lcl|BK010830.1_prot_DAC79558.1_101, lcl|BK010831.1_prot_DAC79756.1_94	SC_04142	SC_00534
OG0000652	lcl|BK010830.1_prot_DAC79560.1_103, lcl|BK010831.1_prot_DAC79758.1_96	SC_04145	SC_00537
OG0000653	lcl|BK010830.1_prot_DAC79565.1_111, lcl|BK010831.1_prot_DAC79764.1_105	SC_04156	SC_00549
OG0000654	lcl|BK010830.1_prot_DAC79566.1_112, lcl|BK010831.1_prot_DAC79765.1_106	SC_04158	SC_00550
OG0000655	lcl|BK010830.1_prot_DAC79572.1_118, lcl|BK010831.1_prot_DAC79770.1_111	SC_04168	SC_00557
OG0000656	lcl|BK010830.1_prot_DAC79574.1_120, lcl|BK010831.1_prot_DAC79771.1_112	SC_04170	SC_00558
OG0000657	lcl|BK010830.1_prot_DAC79575.1_121, lcl|BK010831.1_prot_DAC79772.1_113	SC_04171	SC_00559
OG0000658	lcl|BK010830.1_prot_DAC79578.1_125, lcl|BK010831.1_prot_DAC79775.1_117	SC_04174	SC_00560
OG0000659	lcl|BK010830.1_prot_DAC79579.1_126, lcl|BK010831.1_prot_DAC79776.1_118	SC_04175	SC_00561
OG0000660	lcl|BK010830.1_prot_DAC79580.1_127, lcl|BK010831.1_prot_DAC79777.1_119	SC_04177	SC_00563
OG0000661	lcl|BK010830.1_prot_DAC79585.1_132, lcl|BK010831.1_prot_DAC79783.1_125	SC_04192	SC_00576
OG0000662	lcl|BK010830.1_prot_DAC79588.1_137, lcl|BK010831.1_prot_DAC79785.1_129	SC_04202	SC_00585
OG0000663	lcl|BK010830.1_prot_DAC79589.1_138, lcl|BK010831.1_prot_DAC79786.1_130	SC_04205	SC_00590
OG0000664	lcl|BK010830.1_prot_DAC79597.1_146, lcl|BK010830.1_prot_DAC79598.1_147	SC_04225	SC_00468
OG0000665	lcl|BK010830.1_prot_DAC79604.1_153, lcl|BK010831.1_prot_382, lcl|BK010831.1_prot_DAC79998.1_386	SC_04229	
OG0000666	lcl|BK010830.1_prot_DAC79626.1_180, lcl|BK010831.1_prot_286	SC_04777	SC_00430
OG0000667	lcl|BK010830.1_prot_186	SC_04265	SC_00422, SC_00423
OG0000668	lcl|BK010831.1_prot_DAC79836.1_198	SC_04617, SC_04619	SC_00325
OG0000669	lcl|BK010831.1_prot_DAC79840.1_202	SC_04628, SC_04629	SC_00314
OG0000670	lcl|BK010831.1_prot_DAC79870.1_233	SC_04673	SC_00273, SC_00274
OG0000671	lcl|BK010831.1_prot_DAC79899.1_264	SC_04730	SC_00225, SC_00226
OG0000672	lcl|BK010831.1_prot_DAC79902.1_267	SC_04737, SC_04740	SC_00216
OG0000673	lcl|BK010831.1_prot_DAC79906.1_271	SC_04746, SC_04747	SC_00211
OG0000674	lcl|BK010831.1_prot_DAC79911.1_276	SC_04759, SC_04760	SC_00197
OG0000675	lcl|BK010831.1_prot_DAC79923.1_292	SC_04784	SC_00178, SC_00179
OG0000676	lcl|BK010831.1_prot_DAC79926.1_297	SC_04533, SC_04789	SC_00175
OG0000677	lcl|BK010831.1_prot_DAC79942.1_323	SC_03876, SC_04819	SC_00147
OG0000678	lcl|BK010831.1_prot_DAC79949.1_331	SC_04832, SC_04898	SC_00135
OG0000679	lcl|BK010831.1_prot_336	SC_04838, SC_04982	SC_00127
OG0000680	lcl|BK010831.1_prot_DAC79953.1_337	SC_04839, SC_04984	SC_00126
OG0000681	lcl|BK010831.1_prot_DAC79961.1_345	SC_04914, SC_05057	SC_00119
OG0000682	lcl|BK010831.1_prot_DAC79968.1_353	SC_04859, SC_05006	SC_00104
OG0000683	lcl|BK010831.1_prot_DAC79973.1_358	SC_03927, SC_04863, SC_05013	
OG0000684	lcl|BK010831.1_prot_361	SC_04867, SC_05015	SC_00097
OG0000685	lcl|BK010831.1_prot_DAC79983.1_370	SC_03941, SC_05024	SC_00086
OG0000686	lcl|BK010831.1_prot_DAC79984.1_371	SC_03943, SC_05026	SC_00085
OG0000687	lcl|BK010831.1_prot_DAC79988.1_375	SC_03946, SC_05029	SC_00081
OG0000688	lcl|BK010831.1_prot_DAC79989.1_376	SC_03947, SC_05030	SC_00080
OG0000689	lcl|BK010831.1_prot_DAC79995.1_383	SC_05037	SC_00071, SC_00072
OG0000690	lcl|BK010831.1_prot_DAC80009.1_397	SC_05042	SC_00064, SC_00065
OG0000691		SC_00602, SC_03960, SC_04196, SC_04392	
OG0000692		SC_00689, SC_04020, SC_04362, SC_04933	
OG0000693		SC_01894, SC_01897, SC_01966, SC_01968	
OG0000694		SC_02037, SC_04806	SC_00161, SC_03356
OG0000695		SC_02475, SC_02478	SC_02952, SC_02954
OG0000696		SC_03425, SC_03642	SC_01838, SC_02060
OG0000697		SC_03875, SC_04818, SC_04953, SC_05049	
OG0000698		SC_03877, SC_04820, SC_04956	SC_00146
OG0000699		SC_03879, SC_04822, SC_04890, SC_04960	
OG0000700		SC_03880, SC_04823, SC_04891, SC_04961	
OG0000701		SC_03885, SC_04828, SC_04895	SC_00139
OG0000702		SC_03914, SC_04851, SC_04997, SC_04998	
OG0000703		SC_03915, SC_04919, SC_04999	SC_00111
OG0000704		SC_03958, SC_04059, SC_04396	SC_00524
OG0000705		SC_03975, SC_04037, SC_04461, SC_04462	
OG0000706		SC_03980, SC_04033, SC_04377, SC_04456	
OG0000707		SC_03981, SC_04032, SC_04376	SC_00290
OG0000708		SC_03997, SC_04014, SC_04354	SC_00015
OG0000709		SC_04029, SC_04373, SC_04453	SC_00035
OG0000710		SC_04066, SC_04336, SC_04401, SC_05070	
OG0000711		SC_04067, SC_04334, SC_04403, SC_04487	
OG0000712		SC_04072, SC_04073, SC_04408, SC_05077	
OG0000713		SC_04074, SC_04328, SC_04409, SC_04494	
OG0000714		SC_04076, SC_04326, SC_04411, SC_04495	
OG0000715		SC_04078, SC_04324, SC_04498, SC_05081	
OG0000716		SC_04086, SC_04419, SC_04506, SC_05088	
OG0000717		SC_04090, SC_04314, SC_04509, SC_05091	
OG0000718		SC_04092, SC_04312, SC_04424, SC_05092	
OG0000719		SC_04094, SC_04310, SC_04426, SC_04511	
OG0000720		SC_04100, SC_04304, SC_04433, SC_04517	
OG0000721		SC_04148, SC_04556, SC_04812, SC_04882	
OG0000722		SC_04295, SC_04438, SC_04525	SC_00491
OG0000723		SC_04320, SC_04416, SC_04503, SC_05084	
OG0000724		SC_04321, SC_04415, SC_04502, SC_05083	
OG0000725		SC_04857, SC_05004	SC_00105, SC_00106
OG0000726			SC_00052, SC_00098, SC_00171, SC_00451
OG0000727	lcl|BK010829.1_prot_DAC77334.1_2	SC_00535	SC_01182
OG0000728	lcl|BK010829.1_prot_DAC77335.1_3	SC_00537	SC_01179
OG0000729	lcl|BK010829.1_prot_DAC77337.1_5	SC_00542	SC_01172
OG0000730	lcl|BK010829.1_prot_DAC77338.1_6	SC_00544	SC_01169
OG0000731	lcl|BK010829.1_prot_DAC77339.1_7	SC_00546	SC_01168
OG0000732	lcl|BK010829.1_prot_DAC77340.1_8	SC_00551	SC_01167
OG0000733	lcl|BK010829.1_prot_10	SC_00555	SC_01163
OG0000734	lcl|BK010829.1_prot_DAC77342.1_12	SC_00556	SC_01162
OG0000735	lcl|BK010829.1_prot_DAC77343.1_13	SC_00557	SC_01161
OG0000736	lcl|BK010829.1_prot_DAC77347.1_18	SC_00563	SC_01153
OG0000737	lcl|BK010829.1_prot_DAC77348.1_19	SC_00564	SC_01151
